Rank,Player,Position,Team,Value,PositionRank,Trend30Day,RedraftValue,Tier
1,Bijan Robinson,RB,ATL,11020,1,384,10533,1
2,Jaxon Smith-Njigba,WR,SEA,10068,1,-136,9235,2
3,Jahmyr Gibbs,RB,DET,9887,2,-150,10220,2
4,Puka Nacua,WR,LAR,9843,2,-3,9409,2
5,Ja'Marr Chase,WR,CIN,9805,3,-42,9854,2
6,Malik Nabers,WR,NYG,7707,4,578,6816,3
7,Amon-Ra St. Brown,WR,DET,7480,5,-56,8461,3
8,De'Von Achane,RB,MIA,7217,3,-228,8618,4
9,Ashton Jeanty,RB,LV,7180,4,537,7455,4
10,Justin Jefferson,WR,MIN,7056,6,-129,8188,4
11,CeeDee Lamb,WR,DAL,7031,7,-361,8260,4
12,Trey McBride,TE,ARI,6623,1,-512,7224,5
13,Brock Bowers,TE,LV,6617,2,251,5555,5
14,Omarion Hampton,RB,LAC,6380,5,651,7070,6
15,Drake London,WR,ATL,6279,8,-149,6517,6
16,Jonathan Taylor,RB,IND,5865,6,-967,8486,7
17,James Cook,RB,BUF,5540,7,-449,7847,8
18,Josh Allen,QB,BUF,5471,1,-501,6083,8
19,Drake Maye,QB,NE,5380,2,-89,4164,8
20,Tetairoa McMillan,WR,CAR,5105,9,104,4052,8
21,TreVeyon Henderson,RB,NE,4922,8,-579,5378,8
22,Nico Collins,WR,HOU,4912,10,-356,5866,8
23,Christian McCaffrey,RB,SF,4730,9,-643,8081,9
24,George Pickens,WR,DAL,4629,11,-518,4517,9
25,Garrett Wilson,WR,NYJ,4546,12,-3,4694,9
26,Bucky Irving,RB,TB,4534,10,-401,4927,9
27,Colston Loveland,TE,CHI,4440,3,1116,2361,9
28,Breece Hall,RB,NYJ,4415,11,168,5392,9
29,Chris Olave,WR,NO,4313,13,13,4379,9
30,Quinshon Judkins,RB,CLE,4286,12,-55,3867,9
31,Rashee Rice,WR,KC,4276,14,-708,4404,9
32,Emeka Egbuka,WR,TB,4227,15,-344,3124,10
33,Tyler Warren,TE,IND,4185,4,-33,2889,10
34,Saquon Barkley,RB,PHI,4130,13,-489,7027,10
35,Kyren Williams,RB,LAR,4087,14,73,5249,10
36,Lamar Jackson,QB,BAL,4051,3,-76,3844,10
37,Jayden Daniels,QB,WAS,3976,4,-30,2785,10
38,Chase Brown,RB,CIN,3878,15,-294,5109,10
39,Joe Burrow,QB,CIN,3869,5,-203,3561,10
