Rank,Player,Position,Team,Value,PositionRank,Trend30Day,RedraftValue,Tier
1,Josh Allen,QB,BUF,10342,1,50,10342,1
2,Drake Maye,QB,NE,9624,2,43,9624,2
3,Bijan Robinson,RB,ATL,9532,1,224,9532,2
4,Lamar Jackson,QB,BAL,9496,3,-10,9496,2
5,Ja'Marr Chase,WR,CIN,9292,1,-57,9292,3
6,Joe Burrow,QB,CIN,8880,4,-465,8880,4
7,Jahmyr Gibbs,RB,DET,8808,2,172,8808,4
8,Puka Nacua,WR,LAR,8572,2,86,8572,5
9,Jaxon Smith-Njigba,WR,SEA,8275,3,138,8275,6
10,Jayden Daniels,QB,WAS,8089,5,-183,8089,7
11,Patrick Mahomes,QB,KC,7964,6,-79,7964,8
12,Justin Herbert,QB,LAC,7673,7,265,7673,9
13,Amon-Ra St. Brown,WR,DET,7359,4,283,7359,10
14,Jalen Hurts,QB,PHI,7246,8,-240,7246,10
15,Caleb Williams,QB,CHI,7195,9,311,7195,10
16,Justin Jefferson,WR,MIN,7177,5,109,7177,10
17,Trey McBride,TE,ARI,6877,1,-184,6877,11
18,CeeDee Lamb,WR,DAL,6772,6,-467,6772,11
19,Jonathan Taylor,RB,IND,6518,3,-181,6518,12
20,De'Von Achane,RB,MIA,6326,4,-303,6326,12
21,Trevor Lawrence,QB,JAX,6102,10,13,6102,13
22,Bo Nix,QB,DEN,6042,11,-258,6042,13
23,Dak Prescott,QB,DAL,5977,12,-376,5977,13
24,Christian McCaffrey,RB,SF,5783,5,-602,5783,14
25,James Cook,RB,BUF,5732,6,-196,5732,14
26,Brock Bowers,TE,LV,5708,2,465,5708,14
27,Brock Purdy,QB,SF,5635,13,-172,5635,14
28,Ashton Jeanty,RB,LV,5491,7,367,5491,15
29,Malik Nabers,WR,NYG,5459,7,-169,5459,15
30,Jaxson Dart,QB,NYG,5397,14,-453,5397,15
31,Drake London,WR,ATL,5162,8,-130,5162,16
32,Omarion Hampton,RB,LAC,4977,8,431,4977,17
33,Jordan Love,QB,GB,4960,15,95,4960,17
34,Baker Mayfield,QB,TB,4633,16,-230,4633,18
35,Saquon Barkley,RB,PHI,4620,9,-647,4620,18
36,Jeremiyah Love,RB,FA,4600,10,-70,4600,18
37,Jared Goff,QB,DET,4303,17,-205,4303,19
38,Nico Collins,WR,HOU,4244,9,-557,4244,19
39,George Pickens,WR,DAL,3690,10,113,3690,20
40,Matthew Stafford,QB,LAR,3666,18,-564,3666,20
41,Derrick Henry,RB,BAL,3505,11,-85,3505,21
42,Chase Brown,RB,CIN,3465,12,384,3465,21
43,Josh Jacobs,RB,GB,3404,13,-115,3404,21
44,Breece Hall,RB,NYJ,3294,14,59,3294,22
45,Chris Olave,WR,NO,3223,11,-290,3223,22
46,Garrett Wilson,WR,NYJ,3220,12,-460,3220,22
47,Fernando Mendoza,QB,FA,3202,19,-48,3202,22
48,Sam Darnold,QB,SEA,3111,20,48,3111,23
49,Bucky Irving,RB,TB,3022,15,14,3022,23
50,Tetairoa McMillan,WR,CAR,2988,13,-115,2988,23
