Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
1,"Bijan Robinson",RB,ATL,9999,1,24.1,39218,21223,31913
2,"Ja'Marr Chase",WR,CIN,9982,1,26,78655,19924,42959
3,"Jahmyr Gibbs",RB,DET,9976,2,24,31656,24373,31672
4,"Jaxon Smith-Njigba",WR,SEA,9975,2,24.1,28530,25155,24399
5,"Puka Nacua",WR,LAR,9655,3,24.8,26042,24854,26254
6,"Malik Nabers",WR,NYG,8020,4,22.6,26256,22809,21993
7,"Trey McBride",TE,ARI,7928,1,26.3,29949,29058,27343
8,"Brock Bowers",TE,LVR,7925,2,23.3,24896,23356,21260
9,"Amon-Ra St. Brown",WR,DET,7905,5,26.4,44247,45686,47775
10,"Justin Jefferson",WR,MIN,7899,6,26.8,83465,18969,39386
11,"Ashton Jeanty",RB,LVR,7889,3,22.3,8926,9719,9210
12,"CeeDee Lamb",WR,DAL,7888,7,26.9,53340,47318,52659
13,"Jeremiyah Love",RB,FA,7638,4,-1,776,643,612
14,"Josh Allen",QB,BUF,7634,1,29.8,23978,26141,22686
15,"De'Von Achane",RB,MIA,7416,5,24.4,23485,25081,25445
16,"Drake London",WR,ATL,7368,8,24.6,33713,38548,30843
17,"Omarion Hampton",RB,LAC,7320,6,23,7721,8679,6961
18,"Tetairoa McMillan",WR,CAR,7230,9,23,7322,7787,6815
19,"James Cook",RB,BUF,6874,7,26.5,33556,32596,33246
20,"Jonathan Taylor",RB,IND,6841,8,27.2,53854,36412,45284
21,"Emeka Egbuka",WR,TBB,6808,10,23.4,9088,9318,8034
22,"George Pickens",WR,DAL,6769,11,25,36410,36665,33938
23,"Drake Maye",QB,NEP,6690,2,23.6,7350,7080,5224
24,"Colston Loveland",TE,CHI,6643,3,21.9,10213,10618,8134
25,"Kenneth Walker III",RB,KCC,6591,9,25.4,37501,36968,36220
26,"Garrett Wilson",WR,NYJ,6541,12,25.6,35547,39116,35978
27,"Nico Collins",WR,HOU,6487,13,27,34488,35881,31955
28,"Chris Olave",WR,NOS,6415,14,25.7,35968,38108,34442
29,"Tyler Warren",TE,IND,6386,4,23.8,9070,9583,8230
30,"Rome Odunze",WR,CHI,6291,15,23.8,20426,21437,17139
31,"TreVeyon Henderson",RB,NEP,6284,10,23.4,7854,8221,6948
32,"Breece Hall",RB,NYJ,6281,11,24.8,39053,39303,37831
33,"Jayden Daniels",QB,WAS,6278,3,25.2,7701,8103,6569
34,"Lamar Jackson",QB,BAL,6262,4,29.2,20344,22560,22184
35,"Quinshon Judkins",RB,CLE,6261,12,22.4,11467,11128,8891
36,"Ladd McConkey",WR,LAC,6184,16,24.4,20461,20495,18196
37,"Luther Burden",WR,CHI,6180,17,22.3,10669,10598,8098
38,"Carnell Tate",WR,FA,6067,18,-1,1115,1068,985
39,"Bucky Irving",RB,TBB,6046,13,23.6,17811,17185,16037
40,"Christian McCaffrey",RB,SFO,5868,14,29.8,48483,40313,51595
41,"Chase Brown",RB,CIN,5762,15,26,21567,19950,18912
42,"Makai Lemon",WR,FA,5754,19,-1,900,1111,797
43,"Kyren Williams",RB,LAR,5718,16,25.6,28066,27934,28852
44,"Marvin Harrison Jr.",WR,ARI,5706,20,23.6,20749,22047,19372
45,"Brian Thomas Jr.",WR,JAC,5686,21,23.4,21847,24186,20009
46,"Tee Higgins",WR,CIN,5674,22,27.2,40673,42427,41609
47,"Joe Burrow",QB,CIN,5670,5,29.3,21813,23483,18325
48,"Jaylen Waddle",WR,MIA,5619,23,27.3,41543,44755,43639
49,"Rashee Rice",WR,KCC,5618,24,25.9,26199,26619,20337
50,"Saquon Barkley",RB,PHI,5612,17,29.1,41925,43968,46361
51,"DeVonta Smith",WR,PHI,5578,25,27.3,37165,39016,39043
52,"Caleb Williams",QB,CHI,5567,6,24.3,7226,7506,6283
53,"Harold Fannin",TE,CLE,5552,5,21.7,8619,8027,6224
54,"A.J. Brown",WR,PHI,5547,26,28.7,42664,47059,46331
55,"Tucker Kraft",TE,GBP,5544,6,25.4,19367,19564,16625
56,"Jordyn Tyson",WR,FA,5542,27,-1,723,869,483
57,"Jaxson Dart",QB,NYG,5513,7,22.8,3170,1921,1986
58,"Zay Flowers",WR,BAL,5508,28,25.5,25827,25755,25400
59,"Travis Etienne",RB,NOS,5505,18,27.1,41990,42704,42310
60,"Javonte Williams",RB,DAL,5497,19,25.9,41427,42910,39996
61,"Jameson Williams",WR,DET,5488,29,25,36863,37181,30732
62,"Patrick Mahomes",QB,KCC,5484,8,30.5,24832,27907,22797
63,"Jalen Hurts",QB,PHI,5449,9,27.6,20530,21767,20227
64,"Cam Skattebo",RB,NYG,5365,20,24.1,10160,9215,8006
65,"Justin Herbert",QB,LAC,5360,10,28,21758,23406,18404
66,"Josh Jacobs",RB,GBP,5344,21,28.1,37898,37925,41332
67,"Sam LaPorta",TE,DET,5288,7,25.2,22330,21850,21765
68,"Alec Pierce",WR,IND,5227,30,25.9,21883,21180,20556
69,"Kyle Pitts",TE,ATL,5192,8,25.4,44239,47979,42132
70,"Kenyon Sadiq",TE,FA,5111,9,-1,881,867,671
71,"Bo Nix",QB,DEN,5067,11,26,6323,5582,5223
72,"Bhayshul Tuten",RB,JAC,4966,22,23.1,8878,7555,5967
73,"D.J. Moore",WR,BUF,4904,31,28.9,42267,43613,42971
74,"Jordan Addison",WR,MIN,4886,32,24.1,25318,25915,24467
75,"RJ Harvey",RB,DEN,4817,23,25.1,9974,9867,8072
76,"Fernando Mendoza",QB,FA,4815,12,-1,227,391,235
77,"Oronde Gadsden",TE,LAC,4762,10,22.7,6588,5762,4281
78,"Derrick Henry",RB,BAL,4759,24,32.2,36981,37580,52190
79,"Zach Charbonnet",RB,SEA,4756,25,25.2,24299,24054,23259
80,"Trevor Lawrence",QB,JAC,4680,13,26.4,18762,19951,15136
81,"Wan'Dale Robinson",WR,TEN,4648,33,25.2,25290,25475,23161
82,"Michael Wilson",WR,ARI,4627,34,26.1,15742,14610,14427
83,"Brock Purdy",QB,SFO,4625,14,26.2,11396,10949,10129
84,"KC Concepcion",WR,FA,4606,35,-1,1012,1131,810
85,"Romeo Doubs",WR,NEP,4585,36,25.9,26793,26399,25083
86,"DK Metcalf",WR,PIT,4569,37,28.2,43697,46296,45152
87,"Jordan Love",QB,GBP,4534,15,27.4,13961,13750,11574
88,"Ricky Pearsall",WR,SFO,4527,38,25.5,22817,22040,17277
89,"Christian Watson",WR,GBP,4522,39,26.8,34456,33921,31269
90,"Travis Hunter",WR,JAC,4521,40,22.8,8213,9341,7346
91,"Kyle Monangai",RB,CHI,4489,26,23.8,6189,5162,4694
92,"Matthew Golden",WR,GBP,4444,41,22.6,10258,10010,7816
93,"Dak Prescott",QB,DAL,4438,16,32.6,18182,19126,18211
94,"Jayden Higgins",WR,HOU,4412,42,23.2,9255,8813,6224
95,"Parker Washington",WR,JAC,4409,43,24,12313,11380,11179
96,"D'Andre Swift",RB,CHI,4393,27,27.2,43699,46491,46960
97,"Davante Adams",WR,LAR,4385,44,33.2,37778,40072,53699
98,"Tyler Allgeier",RB,ARI,4375,28,25.9,24053,23707,24865
99,"Michael Pittman",WR,PIT,4371,45,28.4,40387,41615,39811
100,"David Montgomery",RB,HOU,4366,29,28.8,40202,39544,46068
101,"Isaiah Likely",TE,NYG,4356,11,25.9,24088,24338,22843
102,"Baker Mayfield",QB,TBB,4275,17,30.9,12021,11913,10963
103,"Xavier Worthy",WR,KCC,4188,46,22.9,21323,21910,20000
104,"Terry McLaurin",WR,WAS,4164,47,30.5,39824,40634,45423
105,"Josh Downs",WR,IND,4152,48,24.6,24525,24606,19801
106,"Quentin Johnston",WR,LAC,4139,49,24.5,20219,20935,18573
107,"Jakobi Meyers",WR,JAC,4135,50,29.4,31444,31511,27891
108,"Denzel Boston",WR,FA,4127,51,-1,774,1174,607
109,"Blake Corum",RB,LAR,4124,30,25.3,18039,17719,17050
110,"Chuba Hubbard",RB,CAR,4115,31,26.8,30518,29307,32172
111,"Dalton Kincaid",TE,BUF,4082,12,26.4,25895,27216,23801
112,"Mike Evans",WR,SFO,4077,52,32.6,35798,36398,47737
113,"Jake Ferguson",TE,DAL,4071,13,27.2,24743,24923,22108
114,"Jayden Reed",WR,GBP,4061,53,25.9,24496,24310,21938
115,"Jaylen Warren",RB,PIT,4058,32,27.4,24571,23123,25263
116,"Rico Dowdle",RB,PIT,4047,33,27.8,14829,14165,15293
117,"C.J. Stroud",QB,HOU,4003,18,24.4,11106,12330,9886
118,"Cam Ward",QB,TEN,3992,19,23.8,2579,3002,2158
119,"Omar Cooper Jr.",WR,FA,3990,54,-1,824,1045,487
