Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
1,"Bijan Robinson",RB,ATL,9995,1,24.2,52713,50376,54453
2,"Josh Allen",QB,BUF,9990,1,29.9,168126,43388,83849
3,"Ja'Marr Chase",WR,CIN,9951,1,26.1,115701,81915,113715
4,"Jaxon Smith-Njigba",WR,SEA,9832,2,24.2,44539,40858,40896
5,"Jahmyr Gibbs",RB,DET,9616,2,24,45649,45024,49392
6,"Drake Maye",QB,NEP,9419,2,23.6,31865,30927,23048
7,"Puka Nacua",WR,LAR,9018,3,24.9,39135,38148,42516
8,"Caleb Williams",QB,CHI,7779,3,24.4,30037,32757,25854
9,"Jayden Daniels",QB,WAS,7754,4,25.3,45489,29267,31119
10,"Malik Nabers",WR,NYG,7752,4,22.7,33693,36524,33725
11,"Amon-Ra St. Brown",WR,DET,7749,5,26.4,64107,71942,73874
12,"Brock Bowers",TE,LVR,7729,1,23.3,31098,31336,28720
13,"Justin Jefferson",WR,MIN,7677,6,26.8,133294,73540,117053
14,"Lamar Jackson",QB,BAL,7663,5,29.2,96454,86564,96001
15,"Trey McBride",TE,ARI,7620,2,26.4,44481,44332,41103
16,"Jeremiyah Love",RB,FA,7480,3,-1,1506,1224,1232
17,"Ashton Jeanty",RB,LVR,7439,4,22.4,12000,13030,12722
18,"CeeDee Lamb",WR,DAL,7387,7,27,76046,88013,91861
19,"Joe Burrow",QB,CIN,7381,6,29.3,89621,87836,85494
20,"Justin Herbert",QB,LAC,6946,7,28.1,97534,82659,81863
21,"Drake London",WR,ATL,6910,8,24.7,52818,59121,52292
22,"De'Von Achane",RB,MIA,6818,5,24.5,37576,39556,40643
23,"Patrick Mahomes",QB,KCC,6788,8,30.6,159875,48615,68162
24,"Omarion Hampton",RB,LAC,6784,6,23.1,11903,12520,10931
25,"Jaxson Dart",QB,NYG,6700,9,22.9,14112,13252,10526
26,"Tetairoa McMillan",WR,CAR,6616,9,23,11375,11609,11567
27,"Jalen Hurts",QB,PHI,6281,10,27.7,89374,77806,82454
28,"Trevor Lawrence",QB,JAC,6251,11,26.5,70099,72064,54844
29,"Bo Nix",QB,DEN,6251,12,26.1,27808,28089,23518
30,"Colston Loveland",TE,CHI,6037,3,22,12781,12585,10112
31,"Emeka Egbuka",WR,TBB,6033,10,23.5,12329,12687,11246
32,"George Pickens",WR,DAL,6004,11,25.1,53525,53359,51292
33,"James Cook",RB,BUF,5997,7,26.5,49764,50188,50041
34,"Jonathan Taylor",RB,IND,5986,8,27.2,83883,80232,89739
35,"Brock Purdy",QB,SFO,5978,13,26.3,44664,45517,37607
36,"Garrett Wilson",WR,NYJ,5775,12,25.7,54036,59592,59447
37,"Chris Olave",WR,NOS,5759,13,25.8,52833,57665,53859
38,"Nico Collins",WR,HOU,5744,14,27,48809,51872,47553
39,"Tyler Warren",TE,IND,5737,4,23.9,12254,12480,11003
40,"Kenneth Walker III",RB,KCC,5732,9,25.5,54591,58107,56155
41,"Jordan Love",QB,GBP,5669,14,27.4,56389,58252,45241
42,"Fernando Mendoza",QB,FA,5616,15,-1,1528,1529,1307
43,"Rome Odunze",WR,CHI,5595,15,23.8,27457,28644,25044
44,"TreVeyon Henderson",RB,NEP,5470,10,23.5,11590,12135,10830
45,"Ladd McConkey",WR,LAC,5412,16,24.4,26313,26149,24632
46,"Breece Hall",RB,NYJ,5405,11,24.8,58730,67512,63641
47,"Luther Burden",WR,CHI,5387,17,22.3,12872,12891,9984
48,"Quinshon Judkins",RB,CLE,5381,12,22.4,14908,14771,12140
49,"Carnell Tate",WR,FA,5180,18,-1,1491,1467,1315
50,"Christian McCaffrey",RB,SFO,5125,13,29.8,69917,68728,83726
51,"Cam Ward",QB,TEN,5105,16,23.9,11858,12229,10514
52,"Makai Lemon",WR,FA,5090,19,-1,1351,1539,1179
53,"Bucky Irving",RB,TBB,5049,14,23.6,22628,22940,21369
54,"Dak Prescott",QB,DAL,5043,17,32.7,65296,70356,55007
55,"Marvin Harrison Jr.",WR,ARI,5029,20,23.7,29244,32325,30958
