Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
1,"Jahmyr Gibbs",RB,DET,9999,1,24.1,675,480,620
2,"Jaxon Smith-Njigba",WR,SEA,9999,1,24.2,513,448,416
3,"Bijan Robinson",RB,ATL,9997,2,24.2,769,441,667
4,"Ja'Marr Chase",WR,CIN,9790,2,26.2,1209,414,765
5,"Puka Nacua",WR,LAR,9630,3,24.9,331,287,330
6,"Josh Allen",QB,BUF,9032,1,29.9,812,632,685
7,"Ashton Jeanty",RB,LVR,8530,3,22.4,185,151,148
8,"Amon-Ra St. Brown",WR,DET,8458,4,26.5,830,550,678
9,"De'Von Achane",RB,MIA,8418,4,24.6,503,449,501
10,"Brock Bowers",TE,LVR,8404,1,23.4,397,396,388
11,"Jonathan Taylor",RB,IND,8276,5,27.3,1004,662,720
12,"Malik Nabers",WR,NYG,8213,5,22.8,456,431,401
13,"Trey McBride",TE,ARI,8181,2,26.4,575,479,484
14,"Omarion Hampton",RB,LAC,7984,6,23.1,187,131,129
15,"CeeDee Lamb",WR,DAL,7974,6,27.1,907,519,785
16,"Drake London",WR,ATL,7958,7,24.8,547,520,540
17,"Tetairoa McMillan",WR,CAR,7860,8,23.1,166,155,130
18,"Justin Jefferson",WR,MIN,7843,9,26.9,1370,389,748
19,"Drake Maye",QB,NEP,7801,2,23.7,253,232,156
20,"George Pickens",WR,DAL,7774,10,25.2,503,464,482
21,"Jeremiyah Love",RB,ARI,7700,7,20.9,27,9,6
22,"Lamar Jackson",QB,BAL,7669,3,29.3,671,649,688
23,"Christian McCaffrey",RB,SFO,7528,8,29.9,1110,725,835
24,"Emeka Egbuka",WR,TBB,7514,11,23.5,168,128,141
25,"Nico Collins",WR,HOU,7490,12,27.1,624,496,573
26,"James Cook",RB,BUF,7419,9,26.6,505,437,512
27,"Tyler Warren",TE,IND,7403,3,23.9,162,104,132
28,"Bucky Irving",RB,TBB,7265,10,23.7,319,236,263
29,"Patrick Mahomes",QB,KCC,7168,4,30.6,713,615,613
30,"Chris Olave",WR,NOS,7096,13,25.8,538,495,528
31,"Colston Loveland",TE,CHI,7074,4,22.1,132,91,102
32,"Rashee Rice",WR,KCC,7072,14,26,437,370,369
33,"TreVeyon Henderson",RB,NEP,7035,11,23.5,146,138,123
34,"Saquon Barkley",RB,PHI,6946,12,29.2,752,787,696
35,"Quinshon Judkins",RB,CLE,6936,13,22.5,131,84,122
36,"Ladd McConkey",WR,LAC,6911,15,24.5,325,278,299
37,"Jayden Daniels",QB,WAS,6868,5,25.4,369,322,247
38,"Kyren Williams",RB,LAR,6840,14,25.7,523,418,451
39,"Javonte Williams",RB,DAL,6826,15,26,574,475,455
40,"Garrett Wilson",WR,NYJ,6802,16,25.8,567,500,533
41,"Breece Hall",RB,NYJ,6786,16,24.9,631,529,539
42,"Caleb Williams",QB,CHI,6704,6,24.4,264,250,177
43,"Rome Odunze",WR,CHI,6689,17,23.9,371,377,290
44,"Justin Herbert",QB,LAC,6688,7,28.1,602,501,477
45,"Josh Jacobs",RB,GBP,6670,17,28.2,640,627,642
46,"Jalen Hurts",QB,PHI,6643,8,27.7,704,546,586
47,"Kenneth Walker III",RB,KCC,6629,18,25.5,526,496,571
48,"Joe Burrow",QB,CIN,6596,9,29.4,649,502,493
49,"Tee Higgins",WR,CIN,6524,18,27.3,647,520,661
50,"DeVonta Smith",WR,PHI,6449,19,27.5,642,525,683
51,"Carnell Tate",WR,TEN,6443,20,21.3,17,5,4
52,"Chase Brown",RB,CIN,6400,19,26.1,373,310,319
53,"Makai Lemon",WR,PHI,6256,21,21.9,11,9,4
54,"A.J. Brown",WR,PHI,6234,22,28.8,689,662,786
55,"Bo Nix",QB,DEN,6198,10,26.2,249,183,175
56,"Jaylen Waddle",WR,DEN,6179,23,27.4,731,486,615
57,"Tucker Kraft",TE,GBP,6155,5,25.5,114,96,95
58,"Marvin Harrison Jr.",WR,ARI,6152,24,23.7,354,428,355
59,"Jordyn Tyson",WR,NOS,6102,25,21.7,11,8,5
60,"Jameson Williams",WR,DET,6099,26,25.1,445,461,445
61,"Brian Thomas Jr.",WR,JAC,6057,27,23.6,352,376,273
62,"Derrick Henry",RB,BAL,6049,20,32.3,693,861,705
63,"Cam Skattebo",RB,NYG,5987,21,24.2,174,154,158
64,"Travis Etienne",RB,NOS,5968,22,27.3,719,705,522
65,"Sam LaPorta",TE,DET,5894,6,25.3,499,449,482
66,"Dak Prescott",QB,DAL,5879,11,32.8,418,526,404
67,"Kyle Pitts",TE,ATL,5872,7,25.6,591,482,550
68,"Zay Flowers",WR,BAL,5866,28,25.6,456,423,487
69,"Harold Fannin",TE,CLE,5862,8,21.8,108,30,39
70,"Fernando Mendoza",QB,LVR,5818,12,22.6,11,3,5
71,"RJ Harvey",RB,DEN,5816,23,25.2,113,99,87
72,"Davante Adams",WR,LAR,5768,29,33.4,635,724,805
73,"Jordan Addison",WR,MIN,5754,30,24.2,384,413,419
