Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
1,"Bijan Robinson",RB,ATL,9953,1,24.2,206,135,190
2,"Ja'Marr Chase",WR,CIN,9900,1,26.2,443,170,332
3,"Jahmyr Gibbs",RB,DET,9785,2,24.1,206,142,187
4,"Josh Allen",QB,BUF,9750,1,29.9,476,95,207
5,"Puka Nacua",WR,LAR,9430,2,24.9,93,62,84
6,"Lamar Jackson",QB,BAL,9160,2,29.3,349,156,278
7,"Jayden Daniels",QB,WAS,8771,3,25.4,189,81,89
8,"Jaxon Smith-Njigba",WR,SEA,8527,3,24.2,167,114,135
9,"CeeDee Lamb",WR,DAL,8423,4,27.1,313,221,289
10,"Amon-Ra St. Brown",WR,DET,8267,5,26.5,393,161,237
11,"Justin Jefferson",WR,MIN,8249,6,26.9,630,184,365
12,"Malik Nabers",WR,NYG,8132,7,22.8,129,96,131
13,"Drake Maye",QB,NEP,8130,4,23.7,137,87,57
14,"Brock Bowers",TE,LVR,8111,1,23.4,131,102,100
15,"Ashton Jeanty",RB,LVR,8015,3,22.4,54,36,44
16,"Jalen Hurts",QB,PHI,7928,5,27.7,315,168,178
17,"Joe Burrow",QB,CIN,7899,6,29.4,342,161,152
18,"De'Von Achane",RB,MIA,7768,4,24.6,135,116,144
19,"Trey McBride",TE,ARI,7647,2,26.4,187,134,170
20,"Drake London",WR,ATL,7554,8,24.8,208,162,166
21,"Jonathan Taylor",RB,IND,7548,5,27.3,532,283,335
22,"Christian McCaffrey",RB,SFO,7481,6,29.9,484,402,422
23,"Justin Herbert",QB,LAC,7468,7,28.1,294,166,193
24,"Saquon Barkley",RB,PHI,7442,7,29.2,247,399,276
25,"Patrick Mahomes",QB,KCC,7257,8,30.6,407,113,180
26,"Caleb Williams",QB,CHI,7140,9,24.4,116,88,73
27,"Nico Collins",WR,HOU,7101,9,27.1,253,170,202
28,"Omarion Hampton",RB,LAC,7100,8,23.1,56,31,27
29,"James Cook",RB,BUF,7068,9,26.6,146,122,150
30,"Tetairoa McMillan",WR,CAR,6927,10,23.1,43,32,32
31,"Bucky Irving",RB,TBB,6900,10,23.7,101,52,63
32,"Josh Jacobs",RB,GBP,6785,11,28.2,245,224,250
33,"Emeka Egbuka",WR,TBB,6685,11,23.5,47,19,29
34,"Ladd McConkey",WR,LAC,6648,12,24.5,91,60,76
35,"Brian Thomas Jr.",WR,JAC,6647,13,23.6,102,80,74
36,"Jeremiyah Love",RB,ARI,6647,12,20.9,9,2,2
37,"Chase Brown",RB,CIN,6600,13,26.1,92,60,78
38,"Bo Nix",QB,DEN,6538,10,26.2,114,65,62
39,"Tyler Warren",TE,IND,6496,3,23.9,46,16,31
40,"Rome Odunze",WR,CHI,6469,14,23.9,113,88,93
41,"Kyren Williams",RB,LAR,6442,14,25.7,153,103,137
42,"George Pickens",WR,DAL,6435,15,25.2,163,130,146
43,"Baker Mayfield",QB,TBB,6376,11,31,199,150,142
44,"Jordan Love",QB,GBP,6373,12,27.5,228,105,110
45,"Garrett Wilson",WR,NYJ,6337,16,25.8,190,130,153
46,"Brock Purdy",QB,SFO,6294,13,26.3,84,62,80
47,"A.J. Brown",WR,PHI,6290,17,28.8,279,286,320
48,"Derrick Henry",RB,BAL,6266,15,32.3,269,460,342
49,"TreVeyon Henderson",RB,NEP,6228,16,23.5,30,39,28
50,"Rashee Rice",WR,KCC,6195,18,26,135,81,84
51,"Marvin Harrison Jr.",WR,ARI,6171,19,23.7,104,122,101
52,"C.J. Stroud",QB,HOU,6149,14,24.6,197,101,147
53,"Kenneth Walker III",RB,KCC,6147,17,25.5,195,146,173
54,"Breece Hall",RB,NYJ,6111,18,24.9,208,181,155
55,"Dak Prescott",QB,DAL,6083,15,32.8,183,187,156
56,"Chris Olave",WR,NOS,5968,20,25.8,178,127,192
57,"Trevor Lawrence",QB,JAC,5959,16,26.6,263,155,137
58,"Tee Higgins",WR,CIN,5921,21,27.3,278,187,259
59,"Quinshon Judkins",RB,CLE,5908,19,22.5,46,18,14
60,"Colston Loveland",TE,CHI,5863,4,22.1,44,15,21
61,"Jared Goff",QB,DET,5747,17,31.5,176,86,94
62,"Fernando Mendoza",QB,LVR,5738,18,22.6,3,2,1
63,"Jameson Williams",WR,DET,5722,22,25.1,143,147,115
64,"Zay Flowers",WR,BAL,5676,23,25.6,136,100,129
65,"Davante Adams",WR,LAR,5664,24,33.4,259,368,395
66,"Sam LaPorta",TE,DET,5632,5,25.3,180,139,157
67,"DK Metcalf",WR,PIT,5626,25,28.4,182,249,308
68,"Xavier Worthy",WR,KCC,5580,26,23,98,86,65
69,"George Kittle",TE,SFO,5548,6,32.6,143,222,255
70,"Jaylen Waddle",WR,DEN,5539,27,27.4,311,143,212
71,"Jaxson Dart",QB,NYG,5526,19,23,43,8,6
72,"Courtland Sutton",WR,DEN,5520,28,30.6,192,196,226
73,"DeVonta Smith",WR,PHI,5481,29,27.5,278,214,277
74,"Travis Hunter",WR,JAC,5479,30,23,29,14,37
75,"Makai Lemon",WR,PHI,5446,31,21.9,,,1
76,"Carnell Tate",WR,TEN,5389,32,21.3,8,,2
77,"Bryce Young",QB,CAR,5353,20,24.8,136,113,69
78,"Terry McLaurin",WR,WAS,5343,33,30.6,177,234,279
79,"Chuba Hubbard",RB,CAR,5318,20,26.9,227,156,198
80,"Kyler Murray",QB,MIN,5287,21,28.7,249,199,197
81,"RJ Harvey",RB,DEN,5276,21,25.2,24,22,26
82,"Alvin Kamara",RB,NOS,5258,22,30.8,223,496,321
83,"D.J. Moore",WR,BUF,5248,34,29,211,203,248
84,"Cam Ward",QB,TEN,5237,22,23.9,45,16,25
85,"J.J. McCarthy",QB,MIN,5230,23,23.3,99,64,41
86,"Tucker Kraft",TE,GBP,5215,7,25.5,23,16,22
87,"Jordan Addison",WR,MIN,5190,35,24.2,118,96,125
88,"Ricky Pearsall",WR,SFO,5178,36,25.6,69,40,55
89,"Travis Etienne",RB,NOS,5162,23,27.3,359,339,182
90,"Matthew Golden",WR,GBP,5123,37,22.8,35,26,16
91,"Jordyn Tyson",WR,NOS,5081,38,21.7,1,2,1
92,"Michael Penix Jr.",QB,ATL,5056,24,26,79,52,53
93,"Zach Charbonnet",RB,SEA,5005,24,25.3,76,63,88
94,"Jaylen Warren",RB,PIT,4996,25,27.5,115,57,90
95,"Luther Burden",WR,CHI,4952,39,22.4,39,13,18
96,"Mike Evans",WR,SFO,4951,40,32.7,161,195,235
97,"Jerry Jeudy",WR,CLE,4950,41,27,234,134,241
98,"D'Andre Swift",RB,CHI,4928,26,27.3,263,232,279
99,"Calvin Ridley",WR,TEN,4889,42,31.4,30,199,77
100,"Khalil Shakir",WR,BUF,4850,43,26.2,110,65,124
101,"Javonte Williams",RB,DAL,4844,27,26,236,181,181
102,"Kaleb Johnson",RB,PIT,4830,28,22.7,34,18,17
103,"Michael Pittman",WR,PIT,4808,44,28.6,276,125,198
104,"T.J. Hockenson",TE,MIN,4793,8,28.8,186,210,274
105,"Denzel Boston",WR,CLE,4778,45,-1,3,1,1
106,"David Njoku",TE,FA,4766,9,29.8,195,71,163
107,"Cam Skattebo",RB,NYG,4748,29,24.2,51,35,48
108,"Tony Pollard",RB,TEN,4700,30,29,247,165,205
109,"Tua Tagovailoa",QB,ATL,4690,25,28.2,214,137,151
110,"Tyreek Hill",WR,FA,4688,46,32.2,218,365,343
111,"Kyle Pitts",TE,ATL,4637,10,25.6,277,176,235
112,"Jayden Higgins",WR,HOU,4619,47,23.4,17,12,12
113,"James Conner",RB,ARI,4564,31,31,225,161,177
114,"Jakobi Meyers",WR,JAC,4557,48,29.5,190,116,146
115,"David Montgomery",RB,HOU,4535,32,28.9,187,233,222
116,"Keon Coleman",WR,BUF,4522,49,23,70,53,54
117,"Jake Ferguson",TE,DAL,4507,11,27.3,53,65,50
118,"Trey Benson",RB,ARI,4485,33,23.8,67,44,37
119,"Isiah Pacheco",RB,DET,4440,34,27.2,155,120,114
120,"Jordan Mason",RB,MIN,4440,35,26.9,70,41,39
121,"Tyrone Tracy",RB,NYG,4428,36,26.4,18,28,20
122,"Kenyon Sadiq",TE,NYJ,4412,12,21.2,2,,5
123,"Jacory Croskey-Merritt",RB,WAS,4400,37,25,7,12,11
124,"KC Concepcion",WR,CLE,4392,50,21.6,6,2,1
