Rank,Player,Position,Team,Extra,ADP,Final
1,Bijan Robinson,RB,ATLANTA FALCONS,,4,
2,Jahmyr Gibbs,RB,DETROIT LIONS,,8,
3,Ja'Marr Chase,WR,CINCINNATI BENGALS,,29,
4,Puka Nacua,WR,LOS ANGELES RAMS,,31,
5,Jaxon Smith-Njigba,WR,SEATTLE SEAHAWKS,,50,
6,Jonathan Taylor,RB,INDIANAPOLIS COLTS,,66,
7,Christian McCaffrey,RB,SAN FRANCISCO 49ERS,,73,
8,CeeDee Lamb,WR,DALLAS COWBOYS,,91,
9,Amon-Ra St. Brown,WR,DETROIT LIONS,,97,
10,Justin Jefferson,WR,MINNESOTA VIKINGS,,110,
11,James Cook,RB,BUFFALO BILLS,,121,
12,Ashton Jeanty,RB,LAS VEGAS RAIDERS,,129,
13,De'Von Achane,RB,MIAMI DOLPHINS,,148,
14,Omarion Hampton,RB,LOS ANGELES CHARGERS,,168,
15,Jeremiyah Love,RB,N/A,,174,
16,Saquon Barkley,RB,PHILADELPHIA EAGLES,,182,
17,Malik Nabers,WR,NEW YORK GIANTS,,196,
18,Trey McBride,TE,ARIZONA CARDINALS,,212,
19,Drake London,WR,ATLANTA FALCONS,,217,
20,Kenneth Walker III,RB,KANSAS CITY CHIEFS,,229,
21,Derrick Henry,RB,BALTIMORE RAVENS,,235,
22,Chase Brown,RB,CINCINNATI BENGALS,,249,
23,Brock Bowers,TE,LAS VEGAS RAIDERS,,267,
24,George Pickens,WR,DALLAS COWBOYS,,272,
25,Nico Collins,WR,HOUSTON TEXANS,,278,
26,Chris Olave,WR,NEW ORLEANS SAINTS,,307,
27,Josh Jacobs,RB,GREEN BAY PACKERS,,315,
28,Josh Allen,QB,BUFFALO BILLS,,336,
29,A.J. Brown,WR,PHILADELPHIA EAGLES,,342,
30,Travis Etienne Jr.,RB,NEW ORLEANS SAINTS,,353,
31,Tetairoa McMillan,WR,CAROLINA PANTHERS,,365,
32,Breece Hall,RB,NEW YORK JETS,,372,
33,Tee Higgins,WR,CINCINNATI BENGALS,,386,
34,Kyren Williams,RB,LOS ANGELES RAMS,,399,
35,Rashee Rice,WR,KANSAS CITY CHIEFS,,410,
36,Bucky Irving,RB,TAMPA BAY BUCCANEERS,,424,
37,Garrett Wilson,WR,NEW YORK JETS,,432,
38,Ladd McConkey,WR,LOS ANGELES CHARGERS,,448,
39,Emeka Egbuka,WR,TAMPA BAY BUCCANEERS,,459,
40,Javonte Williams,RB,DALLAS COWBOYS,,469,
41,Zay Flowers,WR,BALTIMORE RAVENS,,475,
42,DeVonta Smith,WR,PHILADELPHIA EAGLES,,483,
43,Luther Burden,WR,CHICAGO BEARS,,499,
44,Jameson Williams,WR,DETROIT LIONS,,528,
45,Colston Loveland,TE,CHICAGO BEARS,,536,
46,Jaylen Waddle,WR,DENVER BRONCOS,,553,
47,Davante Adams,WR,LOS ANGELES RAMS,,555,
48,Terry McLaurin,WR,WASHINGTON COMMANDERS,,565,
49,TreVeyon Henderson,RB,NEW ENGLAND PATRIOTS,,571,
50,Mike Evans,WR,SAN FRANCISCO 49ERS,,594,
51,Lamar Jackson,QB,BALTIMORE RAVENS,,602,
52,Rome Odunze,WR,CHICAGO BEARS,,618,
53,Quinshon Judkins,RB,CLEVELAND BROWNS,,620,
54,D.J. Moore,WR,BUFFALO BILLS,,650,
55,Cam Skattebo,RB,NEW YORK GIANTS,,667,
56,Carnell Tate,WR,N/A,,668,
57,Christian Watson,WR,GREEN BAY PACKERS,,679,
58,David Montgomery,RB,HOUSTON TEXANS,,697,
59,Bhayshul Tuten,RB,JACKSONVILLE JAGUARS,,698,
60,D'Andre Swift,RB,CHICAGO BEARS,,701,
61,Brian Thomas,WR,JACKSONVILLE JAGUARS,,724,
62,Jayden Daniels,QB,WASHINGTON COMMANDERS,,746,
63,Makai Lemon,WR,N/A,,748,
64,Joe Burrow,QB,CINCINNATI BENGALS,,763,
65,Marvin Harrison,WR,ARIZONA CARDINALS,,771,
66,RJ Harvey,RB,DENVER BRONCOS,,772,
67,Tyler Warren,TE,INDIANAPOLIS COLTS,,799,
68,Caleb Williams,QB,CHICAGO BEARS,,810,
69,Jordyn Tyson,WR,N/A,,818,
70,Jalen Hurts,QB,PHILADELPHIA EAGLES,,820,
71,Alec Pierce,WR,INDIANAPOLIS COLTS,,822,
72,Drake Maye,QB,NEW ENGLAND PATRIOTS,,844,
73,Parker Washington,WR,JACKSONVILLE JAGUARS,,857,
74,Courtland Sutton,WR,DENVER BRONCOS,,880,
75,Chuba Hubbard,RB,CAROLINA PANTHERS,,903,
76,DK Metcalf,WR,PITTSBURGH STEELERS,,904,
77,Jaylen Warren,RB,PITTSBURGH STEELERS,,913,
78,Michael Wilson,WR,ARIZONA CARDINALS,,921,
79,Harold Fannin,TE,CLEVELAND BROWNS,,943,
80,Rhamondre Stevenson,RB,NEW ENGLAND PATRIOTS,,948,
81,Dak Prescott,QB,DALLAS COWBOYS,,952,
82,Justin Herbert,QB,LOS ANGELES CHARGERS,,986,
83,Ricky Pearsall,WR,SAN FRANCISCO 49ERS,,989,
84,Trevor Lawrence,QB,JACKSONVILLE JAGUARS,,1002,
85,Jaxson Dart,QB,NEW YORK GIANTS,,1022,
86,Jakobi Meyers,WR,JACKSONVILLE JAGUARS,,1027,
87,Tyler Allgeier,RB,ARIZONA CARDINALS,,1027,
88,Jordan Addison,WR,MINNESOTA VIKINGS,,1037,
